"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Andreaea rupestris","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium flexipile","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium flexipile","Mosar","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cetraria muricata","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia cervicornis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia cervicornis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia subcervicornis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia uncialis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia uncialis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2020,37,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,38,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R49",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium maritimum","Mosar","R50",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium maritimum","Mosar","R50",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Ulota phyllantha","Mosar","R50",8.1,0,0,"Hvammsnes","29. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Ulota phyllantha","Mosar","R50",8.1,0,0,"Hvammsnes","29. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R50",8.1,0,0,"Hvammsnes","29. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R50",8.1,0,0,"Hvammsnes","29. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia tenella var. marina","Blað- og runnfléttur","R50",8.1,0,0,"Hvammsnes","29. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia tenella var. marina","Blað- og runnfléttur","R50",8.1,0,0,"Hvammsnes","29. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium ericoides","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,23,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia pyxidata","Blað- og runnfléttur","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Sphaerophorus fragilis","Blað- og runnfléttur","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R51",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,22,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,26,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 8063-8064","Mosar","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R52",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R56",2.3,0,1,"Akrafjall","13. mynd",2020,0.5,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R56",2.3,0,1,"Akrafjall","13. mynd",2023,1,"Innan þynningarsvæðis brennisteins"
"Grimmia donniana","Mosar","R56",2.3,0,1,"Akrafjall","13. mynd",2020,3,"Innan þynningarsvæðis brennisteins"
"Grimmia donniana","Mosar","R56",2.3,0,1,"Akrafjall","13. mynd",2023,2,"Innan þynningarsvæðis brennisteins"
"Parmelia saxatilis","Blað- og runnfléttur","R56",2.3,0,1,"Akrafjall","13. mynd",2020,8,"Innan þynningarsvæðis brennisteins"
"Parmelia saxatilis","Blað- og runnfléttur","R56",2.3,0,1,"Akrafjall","13. mynd",2023,7,"Innan þynningarsvæðis brennisteins"
"Ramalina subfarinacea","Blað- og runnfléttur","R56",2.3,0,1,"Akrafjall","13. mynd",2020,3,"Innan þynningarsvæðis brennisteins"
"Ramalina subfarinacea","Blað- og runnfléttur","R56",2.3,0,1,"Akrafjall","13. mynd",2023,8,"Innan þynningarsvæðis brennisteins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R56",2.3,0,1,"Akrafjall","13. mynd",2023,0.1,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R57",,,,,,2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon depressum","Blað- og runnfléttur","R57",,,,,,2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R57",,,,,,2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R57",,,,,,2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R60",2.4,0,1,"Akrafjall","13. mynd",2023,0.1,"Innan þynningarsvæðis brennisteins"
"Melanelixia subaurifera","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2020,2,"Innan þynningarsvæðis brennisteins"
"Melanelixia subaurifera","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2023,2,"Innan þynningarsvæðis brennisteins"
"Parmelia saxatilis","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2020,7,"Innan þynningarsvæðis brennisteins"
"Parmelia saxatilis","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2023,9,"Innan þynningarsvæðis brennisteins"
"Ramalina subfarinacea","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2020,1,"Innan þynningarsvæðis brennisteins"
"Ramalina subfarinacea","Blað- og runnfléttur","R60",2.4,0,1,"Akrafjall","13. mynd",2023,2,"Innan þynningarsvæðis brennisteins"
"Andreaea rupestris","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia sp.","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium sudeticum","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi","Mosar","R63",3.2,0,0,"Kalastaðakot","21. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia sp","Blað- og runnfléttur","R63",3.2,0,0,"Kalastaðakot","21. mynd",2023,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Hypnum cupressiforme","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi (sami og í 63) Grimmia?","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"mosi (sami og í 63) Grimmia?","Mosar","R64",3.2,0,0,"Kalastaðakot","21. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia dubia","Blað- og runnfléttur","R64",3.2,0,0,"Kalastaðakot","21. mynd",2020,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R64",3.2,0,0,"Kalastaðakot","21. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R64",3.2,0,0,"Kalastaðakot","21. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia dubia","Blað- og runnfléttur","R65",3.2,0,0,"Kalastaðakot","21. mynd",2023,17,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Xanthoria candelaria","Blað- og runnfléttur","R65",3.2,0,0,"Kalastaðakot","21. mynd",2023,15,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2020,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R66",5,0,0,"Miðfellsmúli","22. mynd",2023,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R66",5,0,0,"Miðfellsmúli","22. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R66",5,0,0,"Miðfellsmúli","22. mynd",2023,23,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreae","Mosar","R67",5,0,0,"Miðfellsmúli","22. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R67",5,0,0,"Miðfellsmúli","22. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R67",5,0,0,"Miðfellsmúli","22. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R67",5,0,0,"Miðfellsmúli","22. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R67",5,0,0,"Miðfellsmúli","22. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R67",5,0,0,"Miðfellsmúli","22. mynd",2020,23,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R67",5,0,0,"Miðfellsmúli","22. mynd",2023,33,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R67",5,0,0,"Miðfellsmúli","22. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R68",5,0,0,"Miðfellsmúli","22. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R68",5,0,0,"Miðfellsmúli","22. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R68",5,0,0,"Miðfellsmúli","22. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R68",5,0,0,"Miðfellsmúli","22. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R68",5,0,0,"Miðfellsmúli","22. mynd",2020,15,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R68",5,0,0,"Miðfellsmúli","22. mynd",2023,24,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2023,0.01,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2020,15,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2023,16,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R69",5,0,0,"Gimbrapallar","32. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Baeomyces rufus","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia chlorophaea","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2020,16,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2023,14,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria proboscidea","Blað- og runnfléttur","R69",5,0,0,"Gimbrapallar","32. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2023,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R70",5,0,0,"Gimbrapallar","32. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R70",5,0,0,"Gimbrapallar","32. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R70",5,0,0,"Gimbrapallar","32. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R70",5,0,0,"Gimbrapallar","32. mynd",2020,15,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R70",5,0,0,"Gimbrapallar","32. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2020,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2023,18,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2020,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2023,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2020,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R71",5,0,0,"Gimbrapallar","32. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2020,0.01,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia chlorophaea","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia sp.","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2020,20,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R71",5,0,0,"Gimbrapallar","32. mynd",2023,28,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,4,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 1 (sami og í 76 og 77)","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 2 (sami og í 77)","Mosar","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,20,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R72",4,0,0,"Ofan við Gröf","16. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R73",4,0,0,"Ofan við Gröf","16. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R73",4,0,0,"Ofan við Gröf","16. mynd",2023,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R73",4,0,0,"Ofan við Gröf","16. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
