"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Frullania tamarisci","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,17,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum alpinum","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Polytrichum alpinum","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria cylindrica","Blað- og runnfléttur","R21",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.01,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"dauður mosi","Mosar","R22",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,18,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia donniana","Mosar","R23",20.9,0,0,"Hvalfjarðarbotn","36. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
