"species","Type","Reitur","Year","Coverage"
"Homalothecium sericeum","Mosar","R4","2020",0.5
"Homalothecium sericeum","Mosar","R4","2023",0.5
"Hypnum cupressiforme","Mosar","R4","2014",0.5
"Hypnum cupressiforme","Mosar","R4","2017",0.5
"Hypnum cupressiforme","Mosar","R4","2020",0.5
"Hypnum cupressiforme","Mosar","R4","2023",0.5
"Pterigynandrum filiforme","Mosar","R4","2014",0.5
"Pterigynandrum filiforme","Mosar","R4","2017",0.5
"Pterigynandrum filiforme","Mosar","R4","2020",0.5
"Pterigynandrum filiforme","Mosar","R4","2023",0.5
"Racomitrium aciculare","Mosar","R4","2014",0.5
"Racomitrium aciculare","Mosar","R4","2017",0.5
"Racomitrium aciculare","Mosar","R4","2020",0.5
"Racomitrium aciculare","Mosar","R4","2023",0.5
"Racomitrium fasciculare","Mosar","R4","2014",0.5
"Racomitrium fasciculare","Mosar","R4","2017",0.5
"Racomitrium fasciculare","Mosar","R4","2020",0.5
"Racomitrium fasciculare","Mosar","R4","2023",0.5
"Schistidium flexipile","Mosar","R4","2014",0.5
"Schistidium flexipile","Mosar","R4","2017",0.5
"Schistidium flexipile","Mosar","R4","2020",0.5
"Schistidium flexipile","Mosar","R4","2023",0.5
"Schistidium papillosum","Mosar","R4","2014",0.5
"Schistidium papillosum","Mosar","R4","2017",0.5
"Schistidium papillosum","Mosar","R4","2020",0.5
"Schistidium papillosum","Mosar","R4","2023",0.5
"Tomentypum nitens","Mosar","R4","2014",0.5
"Tomentypum nitens","Mosar","R4","2017",0.5
"Tomentypum nitens","Mosar","R4","2020",0.5
"Tomentypum nitens","Mosar","R4","2023",0.5
"Mosi 1","Mosar","R4","2014",0.5
"Mosi 1","Mosar","R4","2017",0.5
"Mosi 1","Mosar","R4","2020",0.5
"Mosi 1","Mosar","R4","2023",0.5
"Mosi 2","Mosar","R4","2014",0.5
"Mosi 2","Mosar","R4","2017",0.5
"Mosi 2","Mosar","R4","2020",0.5
"Mosi 2","Mosar","R4","2023",0.5
"Cladonia pocillum","Blað- og runnfléttur","R4","2014",0.5
"Cladonia pocillum","Blað- og runnfléttur","R4","2017",0.5
"Cladonia pocillum","Blað- og runnfléttur","R4","2020",0.5
"Cladonia pocillum","Blað- og runnfléttur","R4","2023",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R4","2014",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R4","2017",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R4","2020",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R4","2023",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R4","2014",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R4","2017",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R4","2020",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R4","2023",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R4","2014",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R4","2017",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R4","2020",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R4","2023",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R4","2014",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R4","2017",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R4","2020",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R4","2023",0.5
"Candelariella vitellina","Hrúðurfléttur","R4","2014",0.5
"Candelariella vitellina","Hrúðurfléttur","R4","2017",0.5
"Candelariella vitellina","Hrúðurfléttur","R4","2020",0.5
"Candelariella vitellina","Hrúðurfléttur","R4","2023",0.5
"Lecanora polytropa","Hrúðurfléttur","R4","2014",0.5
"Lecanora polytropa","Hrúðurfléttur","R4","2017",0.5
