"species","Type","Reitur","1976","1997","2006","2011","2014","2017","2020","2023","1999"
"Tephromela atra","Hrúðurfléttur","R8",0.5,1,0.5,0.5,0.5,0.5,0.1,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R8",0.5,0.5,1,1,0.5,0.5,0.5,0.1,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R8",2,1,NA,8,7,15,10,8,NA
"Ber klöpp","Hrúðurfléttur","R8",NA,NA,NA,7,3,1,1,4,NA
"Andreaea rupestris","Mosar","R9",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Grimmia montana","Mosar","R9",0.5,0.5,0.5,1,NA,NA,NA,NA,NA
"Parmelia saxatilis","Blað- og runnfléttur","R9",0.5,1,1.5,2,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R9",0.5,NA,0.5,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R9",NA,NA,NA,1,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R9",NA,NA,2,2,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R9",0.5,NA,0.5,0.5,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R9",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R9",5,5,5,5,NA,NA,NA,NA,NA
"Lepra corallina","Hrúðurfléttur","R9",6,7,5,6,NA,NA,NA,NA,NA
"Ochrolechia tartarea","Hrúðurfléttur","R9",NA,NA,0.5,0.5,NA,NA,NA,NA,NA
"Pertusaria aspergilla","Hrúðurfléttur","R9",2,4,2,1,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R9",25,27,30,32,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R9",0.5,0.5,0.5,NA,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R9",1,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R9",2,1,1,12,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R9",3,3,NA,7,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R10",4,10,10,10,NA,NA,NA,NA,NA
"Grimmia montana","Mosar","R10",1,2,NA,NA,NA,NA,NA,NA,NA
"Racomitrium heterostichum","Mosar","R10",3,1,1,3,NA,NA,NA,NA,NA
"Ephebe lanata","Blað- og runnfléttur","R10",2,1,1,1,NA,NA,NA,NA,NA
"Polychidium muscicola","Blað- og runnfléttur","R10",NA,1,NA,NA,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R10",NA,NA,0.5,0.5,NA,NA,NA,NA,NA
"Umbilicaria proboscidea","Blað- og runnfléttur","R10",NA,NA,0.01,0.5,NA,NA,NA,NA,NA
"Amygdalaria pelobotryon","Hrúðurfléttur","R10",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R10",7,1,2,NA,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R10",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Catillaria contristans","Hrúðurfléttur","R10",0.5,2,1,1,NA,NA,NA,NA,NA
"Gyalecta sp.","Hrúðurfléttur","R10",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Immersaria athroocarpa","Hrúðurfléttur","R10",NA,0.5,NA,1,NA,NA,NA,NA,NA
"Lecanora intricata","Hrúðurfléttur","R10",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R10",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lecidea lapicida","Hrúðurfléttur","R10",1,10,NA,NA,NA,NA,NA,NA,NA
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R10",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Lecidea sp.","Hrúðurfléttur","R10",NA,NA,6,7,NA,NA,NA,NA,NA
"Lepra corallina","Hrúðurfléttur","R10",NA,1,1,2,NA,NA,NA,NA,NA
"Placopsis gelida","Hrúðurfléttur","R10",2,1,1,1,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R10",2,7,6,4,NA,NA,NA,NA,NA
"Rhizocarpon expallescens","Hrúðurfléttur","R10",NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R10",0.5,1,0.5,1,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R10",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R10",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R10",5,7,NA,8,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R10",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R11",2,3,4,4,6,5,6,3,NA
"Grimmia montana","Mosar","R11",0.5,0.5,0.5,0.5,0.5,1,5,1,NA
"Racomitrium fasciculare","Mosar","R11",NA,NA,NA,NA,NA,1,0.5,1,NA
"Racomitrium heterostichum","Mosar","R11",0.5,0.5,0.5,NA,NA,NA,2,3,NA
"Schistidium flexipile","Mosar","R11",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Mosi 1safnað","Mosar","R11",NA,NA,NA,2,1,NA,NA,NA,NA
"Cladonia borealis","Blað- og runnfléttur","R11",NA,NA,NA,NA,NA,NA,0.01,0.1,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R11",0.5,1,0.5,0.5,0.5,NA,0.1,NA,NA
"Parmelia saxatilis","Blað- og runnfléttur","R11",NA,NA,NA,1,1,NA,0.5,2,NA
"Acarospora veronensis","Hrúðurfléttur","R11",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea","Hrúðurfléttur","R11",15,15,19,2,3,3,1,NA,NA
"Calvitimela aglaea","Hrúðurfléttur","R11",NA,NA,NA,NA,NA,NA,0.5,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R11",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1,NA
"Catillaria contristans","Hrúðurfléttur","R11",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Immersaria athroocarpa","Hrúðurfléttur","R11",NA,2,NA,2,2,3,1,1,NA
"Lecanora intricata","Hrúðurfléttur","R11",NA,NA,0.5,0.5,0.5,0.5,0.1,0.5,NA
"Lecanora polytropa","Hrúðurfléttur","R11",0.5,0.5,0.5,NA,0.5,0.5,0.5,0.1,NA
"Lecanora/Aspicilia","Hrúðurfléttur","R11",NA,NA,2,NA,NA,NA,NA,NA,NA
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R11",20,23,22,19,18,24,28,38,NA
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R11",NA,NA,1,NA,NA,NA,NA,NA,NA
"Lecidea sp.","Hrúðurfléttur","R11",NA,NA,NA,2,NA,NA,NA,NA,NA
"Lecidea swartzioidea","Hrúðurfléttur","R11",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Lecidea tesselata","Hrúðurfléttur","R11",13,20,15,17,16,9,4,2,NA
"Placopsis gelida? safnað","Hrúðurfléttur","R11",NA,NA,NA,2,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R11",1,1,1,2,2,3,2,4,NA
"Scoliciosporum umbrinum","Hrúðurfléttur","R11",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R11",0.5,0.5,0.5,0.5,0.5,1,0.5,1,NA
"Tremolecia atrata","Hrúðurfléttur","R11",0.5,0.5,NA,0.5,0.5,0.5,0.1,0.5,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R11",1,0.5,NA,10,27,15,15,13,NA
"Ber klöpp","Hrúðurfléttur","R11",NA,NA,NA,NA,NA,0.5,0.5,0.5,NA
"Andreaea rupestris","Mosar","R12",5,1,5,1,1,0.5,NA,0.5,NA
"Grimmia montana","Mosar","R12",2,2,0.5,1,2,5,3,4,NA
"Hedwigia stellata","Mosar","R12",0.5,NA,0.5,NA,NA,NA,NA,NA,NA
"Kiaeria blyttii","Mosar","R12",8,1,NA,NA,NA,NA,NA,NA,NA
"Racomitrium fasciculare","Mosar","R12",NA,2,5,10,12,NA,14,13,NA
"Racomitrium heterostichum","Mosar","R12",NA,3,2,7,10,7,NA,NA,NA
"Racomitrium lanoginosum","Mosar","R12",NA,NA,NA,3,NA,NA,NA,NA,NA
"Racomitrium sudeticum","Mosar","R12",15,5,14,11,18,18,2,4,NA
"mosi","Mosar","R12",NA,NA,NA,NA,NA,NA,4,0.5,NA
"Dauður mosi","Mosar","R12",NA,NA,NA,NA,1,10,8,2,NA
"Parmelia saxatilis","Blað- og runnfléttur","R12",12,3,5,9,6,1,0.5,0.5,NA
"Massalongia carnosa","Blað- og runnfléttur","R12",2,NA,NA,NA,NA,NA,NA,NA,NA
"Physcia caesia","Blað- og runnfléttur","R12",NA,NA,NA,NA,1,2,1,NA,NA
"Polychidium muscicola","Blað- og runnfléttur","R12",1.5,NA,NA,NA,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R12",7,2,0.5,0.5,NA,NA,NA,NA,NA
"Umbilicaria proboscidea","Blað- og runnfléttur","R12",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Umbilicaria torrefacta","Blað- og runnfléttur","R12",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Xanthoria candelaria","Blað- og runnfléttur","R12",NA,0.5,0.05,0.5,NA,11,6,4,NA
"Grænþörungar","Grænþörungar","R12",NA,NA,NA,NA,NA,10,7,NA,NA
"Aspicilia cinerea","Hrúðurfléttur","R12",5,2,NA,1,1,2,4,NA,NA
"Bryonora castanea","Hrúðurfléttur","R12",0.5,NA,NA,NA,NA,NA,NA,NA,NA
