"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Andreaea rupestris","Mosar","R38",3,0,0,0.5,2,1.5,"Kalmansá","20. mynd"
"Antitrichia curtipendula","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Frullania tamarisci","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Grimmia montana","Mosar","R38",3,0,0,7,10,3,"Kalmansá","20. mynd"
"Hypnum cupressiforme","Mosar","R38",3,0,0,11,11,0,"Kalmansá","20. mynd"
"Racomitrium fasciculare","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Racomitrium heterostichum","Mosar","R38",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Racomitrium lanuginosum","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Racomitrium sudeticum","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Dauður mosi","Mosar","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Ephebe lanata","Blað- og runnfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Physcia caesia","Blað- og runnfléttur","R38",3,0,0,1,1,0,"Kalmansá","20. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R38",3,0,0,2,NA,NA,"Kalmansá","20. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Candelariella vitellina","Hrúðurfléttur","R38",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"Catillaria contristans","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Flavoplaca citrina","Hrúðurfléttur","R38",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecanora intricata","Hrúðurfléttur","R38",3,0,0,0.1,0.5,0.4,"Kalmansá","20. mynd"
"Lecanora polytropa","Hrúðurfléttur","R38",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"Lecidea confluens","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecidea lapicida","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecidella meiococca","Hrúðurfléttur","R38",3,0,0,NA,8,NA,"Kalmansá","20. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Placopsis gelida","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Protoparmelia badia","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Rhizocarpon expallescens","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R38",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"Rinodina","Hrúðurfléttur","R38",3,0,0,3,NA,NA,"Kalmansá","20. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Tremolecia atrata","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"hvítt þal m. svartar askhirslur","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"grátt þal m kúptar vörtul askh.","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"svört m. litlar svartar askhirslur","Hrúðurfléttur","R38",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R38",3,0,0,15,17,2,"Kalmansá","20. mynd"
"Ber klöpp","Hrúðurfléttur","R38",3,0,0,NA,10,NA,"Kalmansá","20. mynd"
"Amphidium lapponicum","Mosar","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Andreaea rupestris","Mosar","R39",5.7,0,0,NA,0.1,NA,"Beitistaðaholt","27. mynd"
"Grimmia montana","Mosar","R39",5.7,0,0,NA,0.5,NA,"Beitistaðaholt","27. mynd"
"Pannaria hookeri","Blað- og runnfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Parmelia omphalodes","Blað- og runnfléttur","R39",5.7,0,0,73,75,2,"Beitistaðaholt","27. mynd"
"Amandinea punctata","Hrúðurfléttur","R39",5.7,0,0,NA,1,NA,"Beitistaðaholt","27. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R39",5.7,0,0,0.1,NA,NA,"Beitistaðaholt","27. mynd"
"Athallia holocarpa","Hrúðurfléttur","R39",5.7,0,0,NA,0.5,NA,"Beitistaðaholt","27. mynd"
"Candelariella vitellina","Hrúðurfléttur","R39",5.7,0,0,0.01,0.01,0,"Beitistaðaholt","27. mynd"
"Lecanora intricata","Hrúðurfléttur","R39",5.7,0,0,NA,2,NA,"Beitistaðaholt","27. mynd"
"Lecanora polytropa","Hrúðurfléttur","R39",5.7,0,0,0.5,0.1,-0.4,"Beitistaðaholt","27. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Lepra corallina","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Myriolecis dispersa s.lat.","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Ochrolechia parella","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Placopsis gelida","Hrúðurfléttur","R39",5.7,0,0,0.01,0.5,0.49,"Beitistaðaholt","27. mynd"
"Tremolecia atrata","Hrúðurfléttur","R39",5.7,0,0,0.01,NA,NA,"Beitistaðaholt","27. mynd"
"Varicellaria lactea","Hrúðurfléttur","R39",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R39",5.7,0,0,1,3,2,"Beitistaðaholt","27. mynd"
"Ber klöpp","Hrúðurfléttur","R39",5.7,0,0,22,9,-13,"Beitistaðaholt","27. mynd"
"Andreaea rupestris","Mosar","R40",5.7,0,0,24,20,-4,"Beitistaðaholt","27. mynd"
"Grimmia montana","Mosar","R40",5.7,0,0,1,1,0,"Beitistaðaholt","27. mynd"
"Racomitrium fasciculare","Mosar","R40",5.7,0,0,NA,2,NA,"Beitistaðaholt","27. mynd"
"Racomitrium heterostichum","Mosar","R40",5.7,0,0,3,4,1,"Beitistaðaholt","27. mynd"
"Racomitrium lanuginosum","Mosar","R40",5.7,0,0,2,7,5,"Beitistaðaholt","27. mynd"
"Racomitrium sudeticum","Mosar","R40",5.7,0,0,3,5,2,"Beitistaðaholt","27. mynd"
"Ephebe lanata","Blað- og runnfléttur","R40",5.7,0,0,NA,1,NA,"Beitistaðaholt","27. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R40",5.7,0,0,12,10,-2,"Beitistaðaholt","27. mynd"
"Amygdalaria sp.","Hrúðurfléttur","R40",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R40",5.7,0,0,1,1,0,"Beitistaðaholt","27. mynd"
"Bryodina rhypariza","Hrúðurfléttur","R40",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Candelariella vitellina","Hrúðurfléttur","R40",5.7,0,0,0.01,0.01,0,"Beitistaðaholt","27. mynd"
"Catillaria contristans","Hrúðurfléttur","R40",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R40",5.7,0,0,0.5,1,0.5,"Beitistaðaholt","27. mynd"
"Lecanora intricata","Hrúðurfléttur","R40",5.7,0,0,0.1,NA,NA,"Beitistaðaholt","27. mynd"
"Lecanora marginata cf.","Hrúðurfléttur","R40",5.7,0,0,NA,7,NA,"Beitistaðaholt","27. mynd"
"Lecanora polytropa","Hrúðurfléttur","R40",5.7,0,0,0.1,0.01,-0.09,"Beitistaðaholt","27. mynd"
"Lecidea lapicida","Hrúðurfléttur","R40",5.7,0,0,0.5,2,1.5,"Beitistaðaholt","27. mynd"
"Lepra corallina","Hrúðurfléttur","R40",5.7,0,0,NA,1,NA,"Beitistaðaholt","27. mynd"
"Placopsis gelida","Hrúðurfléttur","R40",5.7,0,0,0.5,3,2.5,"Beitistaðaholt","27. mynd"
"Porpidia melinodes","Hrúðurfléttur","R40",5.7,0,0,0.5,0.5,0,"Beitistaðaholt","27. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R40",5.7,0,0,5,2,-3,"Beitistaðaholt","27. mynd"
"Tephromela atra","Hrúðurfléttur","R40",5.7,0,0,0.1,NA,NA,"Beitistaðaholt","27. mynd"
"Tremolecia atrata","Hrúðurfléttur","R40",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R40",5.7,0,0,10,7,-3,"Beitistaðaholt","27. mynd"
"Ber klöpp","Hrúðurfléttur","R40",5.7,0,0,2,4,2,"Beitistaðaholt","27. mynd"
"Andreaea rupestris","Mosar","R41",5.7,0,0,3,4,1,"Beitistaðaholt","27. mynd"
"Grimmia montana","Mosar","R41",5.7,0,0,0.5,NA,NA,"Beitistaðaholt","27. mynd"
"Grimmia ramondii","Mosar","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Racomitrium fasciculare","Mosar","R41",5.7,0,0,10,17,7,"Beitistaðaholt","27. mynd"
"Racomitrium heterostichum","Mosar","R41",5.7,0,0,21,30,9,"Beitistaðaholt","27. mynd"
"Racomitrium lanuginosum","Mosar","R41",5.7,0,0,1,1,0,"Beitistaðaholt","27. mynd"
"Racomitrium sudeticum","Mosar","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Mosi 3","Mosar","R41",5.7,0,0,0.15,NA,NA,"Beitistaðaholt","27. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Scytinium lichenoides","Blað- og runnfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R41",5.7,0,0,0.5,1,0.5,"Beitistaðaholt","27. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R41",5.7,0,0,0.1,NA,NA,"Beitistaðaholt","27. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R41",5.7,0,0,6,6,0,"Beitistaðaholt","27. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R41",5.7,0,0,1,1,0,"Beitistaðaholt","27. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R41",5.7,0,0,0.5,1,0.5,"Beitistaðaholt","27. mynd"
"Candelariella vitellina","Hrúðurfléttur","R41",5.7,0,0,0.01,0.01,0,"Beitistaðaholt","27. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R41",5.7,0,0,NA,0.5,NA,"Beitistaðaholt","27. mynd"
"Lecanora intricata","Hrúðurfléttur","R41",5.7,0,0,0.5,2,1.5,"Beitistaðaholt","27. mynd"
"Lecanora marginata","Hrúðurfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Lecanora polytropa","Hrúðurfléttur","R41",5.7,0,0,1,0.5,-0.5,"Beitistaðaholt","27. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R41",5.7,0,0,0.5,0.5,0,"Beitistaðaholt","27. mynd"
"Lecidea sp.","Hrúðurfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R41",5.7,0,0,2,2,0,"Beitistaðaholt","27. mynd"
"Porpidia melinodes","Hrúðurfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Protoparmelia badia","Hrúðurfléttur","R41",5.7,0,0,0.1,2,1.9,"Beitistaðaholt","27. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R41",5.7,0,0,1,1,0,"Beitistaðaholt","27. mynd"
"Tephromela atra","Hrúðurfléttur","R41",5.7,0,0,0.5,1,0.5,"Beitistaðaholt","27. mynd"
"Tremolecia atrata","Hrúðurfléttur","R41",5.7,0,0,NA,NA,NA,"Beitistaðaholt","27. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R41",5.7,0,0,10,5,-5,"Beitistaðaholt","27. mynd"
"Ber klöpp","Hrúðurfléttur","R41",5.7,0,0,8,7,-1,"Beitistaðaholt","27. mynd"
"Andreaea rupestris","Mosar","R42",16.1,0,0,5,4,-1,"Hafnarbæli","34. mynd"
"Grimmia montana","Mosar","R42",16.1,0,0,8,10,2,"Hafnarbæli","34. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R42",16.1,0,0,0.5,1,0.5,"Hafnarbæli","34. mynd"
"Umbilicaria arctica","Blað- og runnfléttur","R42",16.1,0,0,65,52,-13,"Hafnarbæli","34. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R42",16.1,0,0,0.5,0.1,-0.4,"Hafnarbæli","34. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R42",16.1,0,0,NA,0.1,NA,"Hafnarbæli","34. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R42",16.1,0,0,0.5,NA,NA,"Hafnarbæli","34. mynd"
"Acarospora veronensis","Hrúðurfléttur","R42",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R42",16.1,0,0,1,0.5,-0.5,"Hafnarbæli","34. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R42",16.1,0,0,0.5,1,0.5,"Hafnarbæli","34. mynd"
"Candelariella vitellina","Hrúðurfléttur","R42",16.1,0,0,0.01,0.1,0.09,"Hafnarbæli","34. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R42",16.1,0,0,0.5,NA,NA,"Hafnarbæli","34. mynd"
"Lecanora intricata","Hrúðurfléttur","R42",16.1,0,0,0.01,0.1,0.09,"Hafnarbæli","34. mynd"
"Lecanora polytropa","Hrúðurfléttur","R42",16.1,0,0,1,1,0,"Hafnarbæli","34. mynd"
"Lecidea lapicida","Hrúðurfléttur","R42",16.1,0,0,1,3,2,"Hafnarbæli","34. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R42",16.1,0,0,1,NA,NA,"Hafnarbæli","34. mynd"
"Lecidea praenubila, sennil. I.athr.","Hrúðurfléttur","R42",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Porpidia melinodes","Hrúðurfléttur","R42",16.1,0,0,NA,0.5,NA,"Hafnarbæli","34. mynd"
"Protoparmelia badia","Hrúðurfléttur","R42",16.1,0,0,0.5,0.5,0,"Hafnarbæli","34. mynd"
"Rhizocarpon badioatrum","Hrúðurfléttur","R42",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R42",16.1,0,0,7,8,1,"Hafnarbæli","34. mynd"
"Tephromela atra","Hrúðurfléttur","R42",16.1,0,0,0.5,0.1,-0.4,"Hafnarbæli","34. mynd"
"Tremolecia atrata","Hrúðurfléttur","R42",16.1,0,0,0.1,NA,NA,"Hafnarbæli","34. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R42",16.1,0,0,8,10,2,"Hafnarbæli","34. mynd"
"Ber klöpp","Hrúðurfléttur","R42",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Andreaea rupestris","Mosar","R43",16.1,0,0,12,22,10,"Hafnarbæli","34. mynd"
"Racomitrium lanuginosum","Mosar","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R43",16.1,0,0,4,4,0,"Hafnarbæli","34. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R43",16.1,0,0,2,NA,NA,"Hafnarbæli","34. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R43",16.1,0,0,1,NA,NA,"Hafnarbæli","34. mynd"
"Catillaria contristans","Hrúðurfléttur","R43",16.1,0,0,4,1,-3,"Hafnarbæli","34. mynd"
"Lecanora intricata","Hrúðurfléttur","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Lecanora marginata","Hrúðurfléttur","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Lecanora polytropa","Hrúðurfléttur","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Lecidea praenubila","Hrúðurfléttur","R43",16.1,0,0,0.5,0.5,0,"Hafnarbæli","34. mynd"
"Placopsis gelida","Hrúðurfléttur","R43",16.1,0,0,0.1,0.5,0.4,"Hafnarbæli","34. mynd"
"Porpidia melinodes","Hrúðurfléttur","R43",16.1,0,0,1,1,0,"Hafnarbæli","34. mynd"
"Porpidia tuberculosa","Hrúðurfléttur","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R43",16.1,0,0,0.01,0.1,0.09,"Hafnarbæli","34. mynd"
"Tremolecia atrata","Hrúðurfléttur","R43",16.1,0,0,0.1,NA,NA,"Hafnarbæli","34. mynd"
"Sýni 1","Hrúðurfléttur","R43",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"svartar tegundir","Hrúðurfléttur","R43",16.1,0,0,22,15,-7,"Hafnarbæli","34. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R43",16.1,0,0,25,22,-3,"Hafnarbæli","34. mynd"
"Ber klöpp","Hrúðurfléttur","R43",16.1,0,0,2,3,1,"Hafnarbæli","34. mynd"
"Andreaea rupestris","Mosar","R44",16.1,0,0,6,10,4,"Hafnarbæli","34. mynd"
"Arctoa fulvella","Mosar","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Grimmia montana","Mosar","R44",16.1,0,0,3,3,0,"Hafnarbæli","34. mynd"
"Schistidium flexipile","Mosar","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Mosi 1","Mosar","R44",16.1,0,0,0.5,0.5,0,"Hafnarbæli","34. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R44",16.1,0,0,2,5,3,"Hafnarbæli","34. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Stereocaulon depressum","Blað- og runnfléttur","R44",16.1,0,0,2,2,0,"Hafnarbæli","34. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R44",16.1,0,0,0.5,0.5,0,"Hafnarbæli","34. mynd"
"Umbilicaria arctica","Blað- og runnfléttur","R44",16.1,0,0,15,17,2,"Hafnarbæli","34. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R44",16.1,0,0,0.1,NA,NA,"Hafnarbæli","34. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R44",16.1,0,0,1,1,0,"Hafnarbæli","34. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R44",16.1,0,0,0.5,0.5,0,"Hafnarbæli","34. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R44",16.1,0,0,1,1,0,"Hafnarbæli","34. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R44",16.1,0,0,2,2,0,"Hafnarbæli","34. mynd"
"Calvitimela armeniaca","Hrúðurfléttur","R44",16.1,0,0,0.1,NA,NA,"Hafnarbæli","34. mynd"
"Candelariella vitellina","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Catillaria contristans","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Euopsis pulvinata","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R44",16.1,0,0,0.1,0.5,0.4,"Hafnarbæli","34. mynd"
"Lecanora intricata","Hrúðurfléttur","R44",16.1,0,0,1,1,0,"Hafnarbæli","34. mynd"
"Lecanora marginata","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Lecanora polytropa","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Lecidea lapicida","Hrúðurfléttur","R44",16.1,0,0,2,1,-1,"Hafnarbæli","34. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Ochrolechia sp.","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Porpidia melinodes","Hrúðurfléttur","R44",16.1,0,0,NA,NA,NA,"Hafnarbæli","34. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R44",16.1,0,0,3,2,-1,"Hafnarbæli","34. mynd"
"Tephromela atra","Hrúðurfléttur","R44",16.1,0,0,0.5,1,0.5,"Hafnarbæli","34. mynd"
"Tremolecia atrata","Hrúðurfléttur","R44",16.1,0,0,0.01,0.1,0.09,"Hafnarbæli","34. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R44",16.1,0,0,15,20,5,"Hafnarbæli","34. mynd"
"Ber klöpp","Hrúðurfléttur","R44",16.1,0,0,2,4,2,"Hafnarbæli","34. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R45",17.3,0,0,0.5,1,0.5,"Þyrilsnes","35. mynd"
"Acarospora veronensis","Hrúðurfléttur","R45",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R45",17.3,0,0,3,3,0,"Þyrilsnes","35. mynd"
"Candelariella vitellina","Hrúðurfléttur","R45",17.3,0,0,0.01,NA,NA,"Þyrilsnes","35. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R45",17.3,0,0,0.5,1,0.5,"Þyrilsnes","35. mynd"
"Lecidella meiococca","Hrúðurfléttur","R45",17.3,0,0,40,51,11,"Þyrilsnes","35. mynd"
"Tremolecia atrata","Hrúðurfléttur","R45",17.3,0,0,0.5,NA,NA,"Þyrilsnes","35. mynd"
"Varicellaria lactea","Hrúðurfléttur","R45",17.3,0,0,22,27,5,"Þyrilsnes","35. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R45",17.3,0,0,7,3,-4,"Þyrilsnes","35. mynd"
"Ber klöpp","Hrúðurfléttur","R45",17.3,0,0,3,2,-1,"Þyrilsnes","35. mynd"
"Andreaea rupestris","Mosar","R46",17.3,0,0,2,4,2,"Þyrilsnes","35. mynd"
"Pogonatum urnigerum","Mosar","R46",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Racomitrium lanuginosum","Mosar","R46",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Ógreindur mosi","Mosar","R46",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R46",17.3,0,0,7,9,2,"Þyrilsnes","35. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R46",17.3,0,0,10,14,4,"Þyrilsnes","35. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R46",17.3,0,0,3,3,0,"Þyrilsnes","35. mynd"
"Candelariella vitellina","Hrúðurfléttur","R46",17.3,0,0,0.1,0.1,0,"Þyrilsnes","35. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R46",17.3,0,0,1,5,4,"Þyrilsnes","35. mynd"
"Lecanora intricata","Hrúðurfléttur","R46",17.3,0,0,0.5,NA,NA,"Þyrilsnes","35. mynd"
"Lecanora polytropa","Hrúðurfléttur","R46",17.3,0,0,0.5,NA,NA,"Þyrilsnes","35. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R46",17.3,0,0,NA,1,NA,"Þyrilsnes","35. mynd"
"Lecidea praenubila","Hrúðurfléttur","R46",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Placopsis gelida","Hrúðurfléttur","R46",17.3,0,0,NA,0.5,NA,"Þyrilsnes","35. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R46",17.3,0,0,10,10,0,"Þyrilsnes","35. mynd"
"Tremolecia atrata","Hrúðurfléttur","R46",17.3,0,0,NA,0.5,NA,"Þyrilsnes","35. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R46",17.3,0,0,25,20,-5,"Þyrilsnes","35. mynd"
"Ber klöpp","Hrúðurfléttur","R46",17.3,0,0,4,4,0,"Þyrilsnes","35. mynd"
"Andreaea rupestris","Mosar","R47",17.3,0,0,2,2,0,"Þyrilsnes","35. mynd"
"Grimmia","Mosar","R47",17.3,0,0,0.5,1,0.5,"Þyrilsnes","35. mynd"
"Pogonatum urnigerum","Mosar","R47",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Racomitrium fasciculare","Mosar","R47",17.3,0,0,0.5,1,0.5,"Þyrilsnes","35. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R47",17.3,0,0,5,9,4,"Þyrilsnes","35. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R47",17.3,0,0,9,9,0,"Þyrilsnes","35. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R47",17.3,0,0,4,8,4,"Þyrilsnes","35. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R47",17.3,0,0,2,3,1,"Þyrilsnes","35. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R47",17.3,0,0,3,4,1,"Þyrilsnes","35. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R47",17.3,0,0,3,6,3,"Þyrilsnes","35. mynd"
"Candelariella vitellina","Hrúðurfléttur","R47",17.3,0,0,0.5,0.1,-0.4,"Þyrilsnes","35. mynd"
"Catillaria contristans","Hrúðurfléttur","R47",17.3,0,0,NA,NA,NA,"Þyrilsnes","35. mynd"
"Lecanora intricata","Hrúðurfléttur","R47",17.3,0,0,0.5,1,0.5,"Þyrilsnes","35. mynd"
"Lecanora marginata","Hrúðurfléttur","R47",17.3,0,0,3,NA,NA,"Þyrilsnes","35. mynd"
"Lecanora polytropa","Hrúðurfléttur","R47",17.3,0,0,0.5,NA,NA,"Þyrilsnes","35. mynd"
"Lecidea lapicida","Hrúðurfléttur","R47",17.3,0,0,0.5,2,1.5,"Þyrilsnes","35. mynd"
"Lecidea praenubila","Hrúðurfléttur","R47",17.3,0,0,NA,2,NA,"Þyrilsnes","35. mynd"
"Lecidella euphorea","Hrúðurfléttur","R47",17.3,0,0,2,2,0,"Þyrilsnes","35. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R47",17.3,0,0,4,6,2,"Þyrilsnes","35. mynd"
