"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R13",2,0,0,20,30,10,"Bjarnarholt","24. mynd"
"Ber klöpp","Hrúðurfléttur","R13",2,0,0,8,3,-5,"Bjarnarholt","24. mynd"
"Andreaea rupestris","Mosar","R14",2,0,0,10,8,-2,"Bjarnarholt","24. mynd"
"Grimmia montana","Mosar","R14",2,0,0,10,7,-3,"Bjarnarholt","24. mynd"
"Racomitrium heterostichum","Mosar","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Racomitrium sudeticum","Mosar","R14",2,0,0,23,22,-1,"Bjarnarholt","24. mynd"
"Mosi (tekið sýni)","Mosar","R14",2,0,0,3,6,3,"Bjarnarholt","24. mynd"
"Dauður mosi","Mosar","R14",2,0,0,NA,4,NA,"Bjarnarholt","24. mynd"
"Massalongia carnosa","Blað- og runnfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R14",2,0,0,0.5,0.5,0,"Bjarnarholt","24. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Grænþörungar","Grænþörungar","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R14",2,0,0,4,NA,NA,"Bjarnarholt","24. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Candelariella vitellina","Hrúðurfléttur","R14",2,0,0,0.1,0.01,-0.09,"Bjarnarholt","24. mynd"
"Catillaria contristans","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R14",2,0,0,0.5,NA,NA,"Bjarnarholt","24. mynd"
"Lecanora intricata","Hrúðurfléttur","R14",2,0,0,0.5,1,0.5,"Bjarnarholt","24. mynd"
"Lecanora polytropa","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Porpidia melinodes","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Porpidia soredizodes cf.","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Porpidia sp.","Hrúðurfléttur","R14",2,0,0,1,0.5,-0.5,"Bjarnarholt","24. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R14",2,0,0,0.1,0.1,0,"Bjarnarholt","24. mynd"
"Tephromela atra","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Tremolecia atrata","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Steril","Hrúðurfléttur","R14",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R14",2,0,0,20,15,-5,"Bjarnarholt","24. mynd"
"Ber klöpp","Hrúðurfléttur","R14",2,0,0,4,4,0,"Bjarnarholt","24. mynd"
